Name,Population,Yearly_Change,Net_Change,Density,Land_Area,Median_Age,Urban_Pop
Central African Republic,"5,698,984",3.37%,"185,702",9,"622,980",14.6,44.5%
State of Palestine,"5,692,790",1.85%,"103,167",946,"6,020",20.3,85%
Oman,"5,671,458",3.22%,"176,767",18,"309,500",29.8,89.6%
Norway,"5,652,989",0.53%,"29,918",15,"365,268",40.1,86.5%
Finland,"5,621,739",−0.03%,"−1,590",18,"303,890",43.4,87.1%
Mauritania,"5,461,319",2.75%,"146,254",5,"1,030,700",17.5,60.9%
Slovakia,"5,451,342",−0.43%,"−23,539",113,"48,088",42.8,54.3%
Ireland,"5,356,950",0.92%,"48,911",78,"68,890",39.2,62.2%
New Zealand,"5,287,479",0.68%,"35,580",20,"263,310",38,83.7%
Costa Rica,"5,174,789",0.42%,"21,839",101,"51,060",35.7,85.9%
Kuwait,"5,102,773",1.53%,"76,695",286,"17,820",34.8,91.3%
Panama,"4,625,718",1.19%,"54,529",62,"74,340",30.6,71.1%
Croatia,"3,822,345",−0.67%,"−25,815",68,"55,960",45.5,62.2%
Georgia,"3,804,642",−0.05%,"−2,029",55,"69,490",37.6,62.2%
Eritrea,"3,682,669",2.1%,"75,666",36,"101,000",19.5,75.9%
Mongolia,"3,556,798",1.13%,"39,698",2,"1,553,560",27,67.3%
Uruguay,"3,382,537",−0.06%,"−2,151",19,"175,020",36.7,–
Puerto Rico,"3,222,688",−0.39%,"−12,601",363,"8,870",46.2,–
Qatar,"3,173,559",1.85%,"57,670",273,"11,610",33.4,96.2%
Namibia,"3,153,246",1.95%,"60,430",4,"823,290",21.5,55.2%
Bosnia and Herzegovina,"3,114,242",−0.82%,"−25,853",61,"51,000",46.1,57.1%
Moldova,"2,961,253",−1.16%,"−34,853",90,"32,850",39.1,58.5%
Armenia,"2,930,915",−0.73%,"−21,450",103,"28,470",37.2,64.4%
Gambia,"2,884,079",2.2%,"61,986",285,"10,120",18.8,62.2%
Jamaica,"2,833,403",−0.13%,"−3,674",262,"10,830",33.3,60.7%
Lithuania,"2,797,338",−1.16%,"−32,806",45,"62,674",42.6,68.9%
Albania,"2,751,025",−0.74%,"−20,483",100,"27,400",37.8,71.6%
Gabon,"2,647,399",2.09%,"54,269",10,"257,670",21.6,83.8%
Botswana,"2,603,388",1.61%,"41,266",5,"566,730",23.7,76.1%
Lesotho,"2,389,336",1.1%,"26,011",79,"30,360",22.1,33.3%
Guinea-Bissau,"2,297,808",2.15%,"48,293",82,"28,120",19.6,46.6%
Slovenia,"2,114,573",−0.12%,"−2,499",105,"20,140",45,56.1%
Equatorial Guinea,"1,984,468",2.37%,"46,037",71,"28,050",20.9,64.2%
Latvia,"1,835,935",−0.95%,"−17,624",30,"62,200",43.8,67.7%
North Macedonia,"1,804,063",−0.54%,"−9,728",72,"25,220",41.4,70.3%
Bahrain,"1,675,572",1.96%,"32,240","2,205",760,33.4,–
Trinidad and Tobago,"1,513,268",0.14%,"2,113",295,"5,130",38.2,49.1%
Timor-Leste,"1,436,923",1.3%,"18,406",97,"14,870",22.1,36.7%
Cyprus,"1,382,334",0.84%,"11,580",150,"9,240",39.1,61.1%
Estonia,"1,331,062",−0.98%,"−13,170",31,"42,390",43.2,67.5%
Eswatini,"1,269,859",1.09%,"13,685",74,"17,200",22.7,31.7%
Mauritius,"1,265,059",−0.25%,"−3,221",623,"2,030",38.3,41.8%
Djibouti,"1,199,459",1.3%,"15,383",52,"23,180",25.2,71.4%
Fiji,"937,282",0.44%,"4,128",51,"18,270",28.3,61.3%
Comoros,"899,010",1.83%,"16,163",483,"1,861",20.7,34%
Réunion,"886,298",0.44%,"3,893",355,"2,500",38.4,–
Solomon Islands,"858,288",2.34%,"19,643",31,"27,990",20.9,23%
Guyana,"840,890",0.59%,"4,904",4,"196,850",26.5,26.8%
Bhutan,"802,214",0.69%,"5,532",21,"38,117",31,51.1%
Macao,"723,188",0.16%,"1,181","24,106",30,40.3,98.3%
Luxembourg,"687,448",1.03%,"6,995",265,"2,590",39.7,87.4%
Suriname,"645,256",0.84%,"5,406",4,"156,000",28.9,62.4%
Montenegro,"626,233",−1.03%,"−6,496",47,"13,450",40.4,69.7%
Western Sahara,"610,813",1.65%,"9,909",2,"266,000",32.8,97.6%
Malta,"549,011",0.66%,"3,606","1,716",320,41.5,76.2%
Maldives,"531,517",0.35%,"1,841","1,772",300,33.4,40.3%
Cabo Verde,"529,630",0.44%,"2,304",131,"4,030",29.5,79.6%
Brunei,"469,775",0.74%,"3,445",89,"5,270",33.2,80.6%
Belize,"428,644",1.35%,"5,720",19,"22,810",27.3,49%
Bahamas,"404,628",0.4%,"1,595",40,"10,010",35.7,88.9%
Iceland,"402,329",1.02%,"4,063",4,"100,250",36.6,83.7%
Guadeloupe,"372,453",−0.36%,"−1,338",220,"1,690",47.4,–
Mayotte,"347,536",3.12%,"10,525",927,375,17.3,41.1%
